YEAR,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1920,0,3,10,23,40,59,84,104,117,131,119,159,165,136,123,109,93,87,76,67,58,52,44,38,32,25,17,13,8,5,4
1921,0,3,10,23,40,61,91,109,127,123,158,183,147,134,121,109,94,89,75,66,59,52,44,38,31,24,17,13,8,4,4
1922,0,3,9,21,39,64,91,113,117,152,181,152,138,129,118,108,95,86,73,67,61,52,43,40,32,24,16,13,8,4,4
1923,0,2,8,21,40,65,95,108,143,182,159,149,136,129,119,112,94,86,77,71,63,53,45,41,32,24,17,13,7,4,4
1924,0,2,8,21,42,69,93,123,173,163,153,143,135,127,121,109,91,89,78,71,62,55,47,41,32,25,17,11,7,3,3
1925,0,2,9,22,43,67,101,147,157,156,147,141,134,131,118,108,97,90,78,72,65,56,47,40,32,23,15,11,6,3,3
1926,1,3,9,23,44,72,124,142,151,150,148,148,142,133,121,113,100,94,80,76,67,58,48,43,31,22,15,10,5,3,3
1927,1,3,10,24,45,86,124,138,144,149,148,152,142,134,128,119,103,95,85,77,67,57,49,40,29,21,13,9,5,3,2
1928,1,3,11,24,54,88,123,134,146,152,155,150,143,143,135,123,104,101,86,78,67,59,46,38,28,20,12,8,5,2,2
1929,1,4,10,27,59,90,117,132,146,158,156,151,148,148,137,125,109,102,86,79,68,55,43,36,26,18,11,7,4,2,2
1930,1,3,11,30,60,87,117,138,155,162,161,165,160,154,141,136,117,109,91,83,68,54,43,34,24,17,11,7,4,2,2
1931,1,3,12,32,58,85,119,143,156,162,169,170,162,153,146,134,117,107,91,77,63,51,39,30,21,16,10,6,3,2,2
1932,1,3,14,31,57,87,123,142,154,171,175,173,160,156,147,132,116,111,88,72,60,47,36,28,20,13,8,5,3,2,2
1933,1,4,13,31,58,90,125,146,167,180,183,178,172,165,151,137,117,105,85,70,57,44,34,26,18,11,7,4,2,1,2
1934,1,3,12,32,61,92,128,157,175,188,190,189,179,173,155,140,112,97,79,67,53,42,32,22,15,10,6,4,2,1,2
1935,1,3,13,33,61,94,137,162,180,190,198,193,181,173,158,134,104,92,73,62,50,39,28,19,13,9,6,4,2,2,2
1936,1,3,13,35,63,103,141,167,179,191,201,196,184,174,151,127,101,88,70,57,47,34,23,17,12,8,5,4,2,2,2
1937,1,3,14,34,70,107,147,168,184,198,206,199,188,167,142,121,97,83,66,54,41,29,21,16,11,7,5,4,2,1,2
1938,1,3,15,40,75,112,150,174,194,204,210,202,181,162,135,117,94,78,64,47,35,25,19,14,11,8,5,4,2,1,2
1939,1,4,18,44,79,116,155,180,200,208,213,193,174,154,131,111,90,75,56,41,31,24,18,14,10,8,6,4,2,1,2
1940,1,5,20,48,83,123,162,189,204,214,208,191,169,152,127,108,88,67,50,38,29,23,17,14,11,8,7,4,2,1,2
1941,1,5,22,52,91,127,169,193,209,210,201,183,162,144,123,107,80,60,46,36,28,22,18,15,12,8,6,4,2,2,2
1942,1,6,24,54,91,132,169,192,202,202,193,178,159,139,121,96,72,57,43,34,28,23,20,16,12,8,6,4,2,1,2
1943,1,7,27,57,95,132,167,187,197,191,187,172,154,139,112,89,68,54,43,35,30,25,21,15,11,8,6,4,2,1,2
1944,1,8,31,63,98,135,166,183,188,189,180,168,154,128,105,85,66,53,43,37,32,27,21,15,11,8,6,3,2,1,2
1945,2,11,35,66,103,136,166,176,181,181,178,168,145,121,101,83,66,56,47,42,34,26,21,16,12,9,6,4,2,1,2
1946,2,12,36,67,104,136,161,172,175,179,178,159,139,119,100,85,69,60,54,44,34,28,22,17,13,9,6,4,2,1,2
1947,2,12,36,66,99,128,151,158,165,169,159,145,130,111,97,83,73,64,53,41,34,27,22,16,12,9,6,4,2,1,1
1948,3,13,38,67,102,127,147,161,167,160,153,142,127,114,100,92,82,69,56,45,36,29,23,18,13,9,6,4,3,1,1
1949,2,13,38,71,101,124,144,155,152,148,144,134,125,113,106,99,85,69,55,46,37,31,24,19,14,10,7,4,3,1,1
1950,3,14,41,73,101,124,142,141,142,141,137,131,123,118,114,103,85,68,56,47,39,31,26,20,15,11,7,5,3,2,2
